iter	Logloss
0	0.6856979264
1	0.6787186999
2	0.6722733615
3	0.6659888538
4	0.6600672797
5	0.6540209929
6	0.6480045006
7	0.6423055959
8	0.6365266324
9	0.6318151228
10	0.6271114799
11	0.6224855103
12	0.6175132679
13	0.6131267337
14	0.6082933971
15	0.6033113974
16	0.5990346662
17	0.5942722176
18	0.5897266394
19	0.585279663
20	0.5811032714
21	0.5770165333
22	0.5731158547
23	0.5694715349
24	0.5656243072
25	0.5623867967
26	0.5589413567
27	0.5553801463
28	0.5519709855
29	0.5492414302
30	0.5461635493
31	0.5428292604
32	0.5398639392
33	0.5369210121
34	0.5340107896
35	0.5315612374
36	0.5289645625
37	0.5264309382
38	0.5237419303
39	0.5212397906
40	0.5190781342
41	0.516916468
42	0.5146246519
43	0.5123569886
44	0.5099882829
45	0.5078545936
46	0.5056657214
47	0.5036638471
48	0.5015605687
49	0.4994086082
50	0.4975257149
51	0.495464804
52	0.4935965158
53	0.4918351103
54	0.490247038
55	0.4884412596
56	0.4869490178
57	0.4854084546
58	0.4837420111
59	0.4821223664
60	0.4808683857
61	0.4794630628
62	0.4779570342
63	0.4763178063
64	0.4748710912
65	0.4735729588
66	0.4721501856
67	0.47090734
68	0.4695471358
69	0.4684204409
70	0.4670961894
71	0.4659933424
72	0.4646580631
73	0.4634843129
74	0.4622925659
75	0.4613629126
76	0.4602249198
77	0.4591575551
78	0.458138724
79	0.4571267885
80	0.4562141232
81	0.4551803898
82	0.4541858328
83	0.4532279134
84	0.4523474774
85	0.4514296848
86	0.4506834661
87	0.449883247
88	0.4490451504
89	0.4481520686
90	0.4473315671
91	0.4466708409
92	0.4458403561
93	0.4450413848
94	0.4442233744
95	0.4434623872
96	0.4427367643
97	0.4420043204
98	0.441325691
99	0.4406178339
100	0.4400753069
101	0.439425902
102	0.4387626761
103	0.4380994959
104	0.4375439825
105	0.4370421358
106	0.4365146692
107	0.4359163781
108	0.4352979444
109	0.4346305242
110	0.4340319696
111	0.4334537025
112	0.4329043376
113	0.4323703141
114	0.4317834583
115	0.431242164
116	0.4306455976
117	0.430108457
118	0.4296357427
119	0.4291248603
120	0.4285617333
121	0.428093734
122	0.4276860235
123	0.4270969418
124	0.4267367106
125	0.4262775616
126	0.4258899826
127	0.4254281112
128	0.4249748407
129	0.4245304733
130	0.4241305728
131	0.4237180128
132	0.4232981251
133	0.4228794194
134	0.4224925387
135	0.4220375615
136	0.4216508124
137	0.4213317687
138	0.420948955
139	0.4206445422
140	0.4203084824
141	0.4199977643
142	0.4196566029
143	0.4193076944
144	0.4189158774
145	0.4185264353
146	0.4181917522
147	0.4179242514
148	0.4177152808
