iter	Passed	Remaining
0	13	6755
1	28	6987
2	45	7479
3	60	7534
4	76	7597
5	94	7785
6	112	7936
7	132	8128
8	147	8063
9	159	7794
10	174	7768
11	190	7766
12	207	7772
13	223	7770
14	239	7757
15	256	7763
16	272	7756
17	289	7745
18	305	7735
19	321	7724
20	338	7720
21	354	7696
22	370	7685
23	386	7668
24	402	7654
25	419	7642
26	434	7618
27	451	7616
28	467	7596
29	483	7578
30	500	7568
31	516	7550
32	532	7532
33	548	7512
34	564	7505
35	580	7485
36	596	7468
37	612	7451
38	629	7443
39	646	7434
40	662	7418
41	679	7406
42	695	7389
43	711	7378
44	728	7364
45	744	7346
46	760	7332
47	777	7318
48	793	7305
49	810	7294
50	826	7276
51	843	7270
52	859	7252
53	876	7237
54	893	7231
55	911	7223
56	928	7217
57	946	7209
58	964	7210
59	982	7205
60	1000	7199
61	1018	7192
62	1035	7185
63	1053	7177
64	1070	7164
65	1086	7147
66	1103	7128
67	1119	7112
68	1138	7110
69	1156	7101
70	1172	7085
71	1189	7072
72	1206	7056
73	1224	7051
74	1242	7041
75	1259	7023
76	1275	7006
77	1291	6985
78	1307	6968
79	1324	6951
80	1340	6934
81	1357	6919
82	1374	6904
83	1390	6888
84	1407	6871
85	1423	6852
86	1440	6836
87	1457	6822
88	1474	6811
89	1491	6792
90	1507	6774
91	1524	6761
92	1541	6744
93	1557	6726
94	1573	6708
95	1590	6693
96	1606	6674
97	1623	6657
98	1640	6645
99	1656	6627
100	1672	6608
101	1689	6591
102	1705	6572
103	1722	6557
104	1738	6540
105	1754	6522
106	1770	6503
107	1786	6485
108	1804	6473
109	1821	6456
110	1837	6440
111	1854	6424
112	1870	6406
113	1886	6387
114	1903	6371
115	1919	6354
116	1936	6338
117	1953	6323
118	1969	6306
119	1985	6288
120	2001	6269
121	2018	6253
122	2034	6236
123	2050	6218
124	2067	6203
125	2085	6188
126	2101	6171
127	2117	6154
128	2134	6137
129	2151	6124
130	2169	6110
131	2186	6094
132	2202	6078
133	2219	6061
134	2235	6045
135	2252	6027
136	2268	6010
137	2285	5994
138	2301	5977
139	2318	5962
140	2335	5945
141	2352	5930
142	2369	5915
143	2385	5898
144	2402	5880
145	2418	5863
146	2435	5847
147	2451	5831
148	2468	5814
149	2484	5797
150	2501	5782
151	2518	5765
152	2534	5748
153	2551	5732
154	2567	5714
155	2582	5695
156	2598	5678
157	2615	5661
158	2631	5644
159	2647	5625
160	2664	5611
161	2681	5594
162	2697	5577
163	2714	5561
164	2730	5543
165	2746	5527
166	2763	5510
167	2780	5495
168	2799	5482
169	2817	5468
170	2833	5451
171	2849	5434
172	2866	5418
173	2883	5401
174	2899	5385
175	2916	5369
176	2933	5352
177	2950	5336
178	2966	5319
179	2982	5302
180	2999	5286
181	3015	5269
182	3032	5252
183	3048	5235
184	3064	5217
185	3081	5202
186	3097	5184
187	3113	5167
188	3129	5149
189	3145	5132
190	3162	5116
191	3179	5100
192	3196	5084
193	3212	5067
194	3228	5050
195	3245	5033
196	3261	5015
197	3277	4998
198	3293	4981
199	3309	4964
200	3326	4947
201	3342	4931
202	3358	4913
203	3374	4896
204	3389	4878
205	3406	4861
206	3423	4845
207	3439	4828
208	3455	4810
209	3471	4794
210	3488	4778
211	3505	4761
212	3521	4744
213	3537	4727
214	3554	4711
215	3570	4694
216	3586	4677
217	3603	4661
218	3619	4643
219	3635	4627
220	3651	4609
221	3667	4592
222	3684	4577
223	3702	4561
224	3718	4544
225	3734	4528
226	3750	4510
227	3769	4496
228	3787	4482
229	3805	4467
230	3822	4451
231	3839	4435
232	3855	4418
233	3872	4402
234	3889	4386
235	3905	4369
236	3922	4352
237	3938	4335
238	3954	4318
239	3971	4302
240	3987	4285
241	4003	4268
242	4021	4253
243	4037	4236
244	4054	4219
245	4070	4203
246	4086	4186
247	4103	4169
248	4119	4152
249	4135	4135
250	4151	4118
251	4167	4101
252	4180	4081
253	4196	4064
254	4213	4047
255	4229	4031
256	4246	4014
257	4262	3998
258	4278	3981
259	4295	3965
260	4312	3949
261	4329	3932
262	4345	3916
263	4362	3899
264	4378	3882
265	4394	3866
266	4411	3849
267	4428	3833
268	4444	3816
269	4460	3799
270	4476	3782
271	4492	3765
272	4509	3749
273	4525	3732
274	4541	3715
275	4557	3698
276	4573	3681
277	4589	3664
278	4605	3647
279	4621	3631
280	4637	3614
281	4653	3597
282	4669	3580
283	4687	3564
284	4704	3548
285	4721	3532
286	4738	3516
287	4754	3499
288	4771	3483
289	4786	3466
290	4803	3449
291	4819	3432
292	4835	3416
293	4851	3399
294	4867	3382
295	4883	3365
296	4899	3349
297	4915	3332
298	4932	3315
299	4949	3299
300	4965	3283
301	4981	3266
302	4997	3249
303	5014	3232
304	5030	3216
305	5046	3199
306	5062	3182
307	5079	3166
308	5098	3151
309	5116	3136
310	5134	3120
311	5152	3104
312	5169	3088
313	5186	3072
314	5202	3055
315	5218	3038
316	5234	3021
317	5250	3005
318	5267	2988
319	5283	2972
320	5299	2955
321	5314	2937
322	5329	2920
323	5345	2903
324	5361	2886
325	5376	2869
326	5391	2852
327	5405	2834
328	5420	2817
329	5435	2800
330	5450	2782
331	5465	2765
332	5479	2748
333	5494	2730
334	5508	2713
335	5523	2696
336	5538	2679
337	5553	2661
338	5567	2644
339	5582	2627
340	5597	2610
341	5612	2592
342	5626	2575
343	5641	2558
344	5656	2541
345	5671	2524
346	5686	2507
347	5701	2490
348	5716	2473
349	5730	2455
350	5745	2438
351	5759	2421
352	5773	2404
353	5788	2387
354	5803	2370
355	5818	2353
356	5832	2336
357	5847	2319
358	5861	2302
359	5876	2285
360	5891	2268
361	5905	2251
362	5920	2234
363	5935	2217
364	5950	2200
365	5965	2183
366	5981	2167
367	5997	2151
368	6013	2134
369	6030	2118
370	6046	2102
371	6062	2085
372	6079	2069
373	6095	2053
374	6112	2037
375	6128	2021
376	6144	2004
377	6161	1988
378	6177	1972
379	6193	1955
380	6211	1940
381	6227	1923
382	6243	1907
383	6259	1890
384	6276	1874
385	6292	1858
386	6309	1842
387	6325	1825
388	6341	1809
389	6357	1793
390	6374	1777
391	6391	1760
392	6409	1745
393	6427	1729
394	6445	1713
395	6462	1697
396	6479	1681
397	6496	1664
398	6512	1648
399	6529	1632
400	6545	1616
401	6562	1599
402	6578	1583
403	6595	1567
404	6611	1550
405	6628	1534
406	6645	1518
407	6661	1502
408	6678	1485
409	6695	1469
410	6712	1453
411	6727	1437
412	6743	1420
413	6760	1404
414	6775	1387
415	6792	1371
416	6808	1355
417	6824	1338
418	6840	1322
419	6857	1306
420	6873	1289
421	6889	1273
422	6905	1257
423	6922	1240
424	6938	1224
425	6954	1208
426	6970	1191
427	6987	1175
428	7003	1159
429	7018	1142
430	7035	1126
431	7051	1109
432	7068	1093
433	7085	1077
434	7101	1061
435	7117	1044
436	7133	1028
437	7150	1012
438	7166	995
439	7182	979
440	7199	963
441	7216	946
442	7232	930
443	7248	914
444	7264	897
445	7281	881
446	7297	865
447	7313	848
448	7330	832
449	7346	816
450	7362	799
451	7378	783
452	7394	767
453	7411	750
454	7428	734
455	7444	718
456	7460	701
457	7476	685
